gene,gene_symbol,llm_score,rationale
ENSG00000179520.11,SLC17A8,25,"The abstract mentions colorectal distention as an experimental method but focuses on spinal pain mechanisms rather than CRC biomarker potential. SLC17A8/VGLUT3 is studied in the context of visceral pain transmission, not as a colorectal cancer biomarker."
ENSG00000229404.6,LINC00858,85,"The abstracts provide strong direct evidence for LINC00858 as a CRC biomarker, demonstrating its role in promoting colorectal cancer progression, hepatic metastases, and its association with patient survival through well-characterized molecular mechanisms."
ENSG00000100665.12,SERPINA4,20,"While the first abstract title mentions SERPINA4 facilitating colorectal cancer progression, the abstract content is missing (marked as 'nan'). The remaining abstracts discuss various aspects of colorectal cancer but do not mention SERPINA4 at all, providing no evidence for its biomarker potential."
ENSG00000163347.6,CLDN1,85,"The abstracts provide strong direct evidence for CLDN1 as a CRC biomarker, showing consistent overexpression (40-fold increase in 100% of CRC tumors), validated diagnostic/prognostic utility across multiple studies, clear mechanistic roles in EMT and metastasis, and demonstrated therapeutic targeting potential for fluorescence-guided surgery and immunotherapy."
ENSG00000144619.15,CNTN4,25,"CNTN4 is mentioned only briefly in one abstract as a novel gene identified in a GWAS for nonhereditary colorectal polyposis, but no specific functional or mechanistic data about its role as a CRC biomarker is provided."
ENSG00000119121.22,TRPM6,75,"The abstracts provide strong CRC-specific evidence for TRPM6 as a biomarker, demonstrating its role in colorectal cancer progression, prognosis, and therapeutic targeting, with mechanistic insights into magnesium homeostasis and cancer stemness regulation."
ENSG00000162896.6,PIGR,65,"PIGR shows consistent evidence as a CRC biomarker across multiple studies, with prognostic significance in patient outcomes, involvement in drug resistance mechanisms, and inclusion in methylation-based prognostic signatures, though its role appears context-dependent rather than universally established."
ENSG00000117115.13,PADI2,45,"The abstracts mention colorectal cancer in one study showing PADI2's role in reversing multidrug resistance through Wnt/β-catenin pathway modulation, but most evidence focuses on inflammatory bowel disease, fibromyalgia, and lung cancer rather than establishing PADI2 as a specific CRC biomarker."
ENSG00000187715.13,KBTBD12,25,"KBTBD12 is mentioned only as one of the top 10 down-regulated genes in colorectal adenoma compared to hyperplastic polyps, with no further investigation, functional analysis, or biomarker validation specific to this gene."
ENSG00000029559.7,IBSP,15,"The abstracts focus on mutational signatures, geographic variations, SFRP gene family, and DNMT3B in colorectal cancer, but contain no mention of IBSP gene, providing no evidence for IBSP as a CRC biomarker."
ENSG00000141431.12,ASXL3,25,"The abstracts mention ASXL1 truncation mutations in colorectal cancers with microsatellite instability, but ASXL3 is only mentioned in melanoma context, with no direct CRC-specific evidence provided."
ENSG00000135406.14,PRPH,65,"The abstracts provide strong CRC-specific evidence with PRPH identified as part of a validated 5-gene prognostic signature for rectal cancer and demonstrated as a biomarker for predicting metastatic potential in rectal endocrine neoplasms, though the evidence is primarily focused on rectal cancer subtypes rather than broader colorectal cancer."
ENSG00000102409.10,BEX4,65,"The abstract provides direct CRC-specific evidence identifying BEX4 as one of 15 prognostic biomarkers through multivariate Cox regression analysis, with demonstrated predictive utility for overall survival in CRC patients. However, BEX4 is mentioned only as part of a multi-gene signature without individual mechanistic or functional details."
ENSG00000211652.2,IGLV7-43,25,"The abstracts mention colon cancer and colorectal cancer only in passing as case studies for miRNA-disease association prediction methods, without providing any specific evidence about IGLV7-43 as a CRC biomarker."
ENSG00000204542.3,C6orf15,20,"While CRC is mentioned in multiple abstracts, C6orf15 is not specifically discussed in any of them, and the abstracts focus on other topics like tocotrienols, clinical guidelines, screening experiences, and general methodological tools rather than providing direct evidence for C6orf15 as a CRC biomarker."
ENSG00000242371.1,IGKV1-39,20,"The abstracts mention colorectal cancer only tangentially - one abstract describes decreased IGKV1-39 expression in liver metastases from CRC patients, and another mentions colorectal cancer in passing within a broader genomics conference. There is no direct evidence of IGKV1-39 serving as a CRC biomarker."
ENSG00000184434.8,LRRC19,75,"The abstracts provide strong CRC-specific evidence for LRRC19 as a biomarker, demonstrating its downregulation in CRC tissues, association with poor prognosis and overall survival, and mechanistic roles in cell cycle regulation and immune microenvironment modulation, though validation as an established clinical biomarker is still emerging."
ENSG00000104888.10,SLC17A7,65,"The abstracts provide strong CRC-specific evidence with SLC17A7 identified as both a core gene in colon cancer functional networks and part of a validated seven-gene prognostic signature, though the biomarker role is emerging rather than fully established."
ENSG00000149970.16,CNKSR2,25,"While CNKSR2 (KSR2) is mentioned in several abstracts related to cancer research, the evidence for CRC biomarker potential is limited and indirect, with only tangential mentions in colon cancer contexts without specific CRC-focused data or validation."
ENSG00000158270.12,COLEC12,45,"COLEC12 is mentioned in CRC contexts across multiple abstracts, particularly as part of a prognostic signature and CAF risk model, but evidence is indirect and the gene is not the primary focus of investigation."
ENSG00000172020.13,GAP43,45,"GAP43 is mentioned in CRC contexts but evidence is mixed - one abstract shows it's downregulated and methylated in CRC with potential mechanistic insights, while another includes it in a prognostic signature, but overall the CRC-specific biomarker evidence is limited and not the primary focus of most abstracts."
ENSG00000162520.15,SYNC,25,"The abstracts mention colorectal cancer only in the context of metastatic disease treatment with radiotherapy, without any specific evidence for SYNC as a CRC biomarker or any discussion of SYNC's role in colorectal cancer biology."
ENSG00000174358.16,SLC6A19,65,"The abstracts provide strong CRC-specific evidence for SLC6A19 as a biomarker, with two studies demonstrating its downregulation in CRC, association with poor survival, and functional validation showing tumor suppressive effects in vitro and in vivo, though the biomarker role is still emerging rather than clinically validated."
ENSG00000204136.11,GGTA1,20,"The abstract mentions colorectal cancer cell lines (HT-29, SW-620) only as experimental models for studying MMP1 gene promoter polymorphisms, but provides no CRC-specific results, biomarker evidence, or mechanistic insights relevant to colorectal cancer."
ENSG00000038295.8,TLL1,20,"While one abstract mentions colorectal cancer in the context of genetic mutations and pathogenesis, TLL1 is not specifically discussed as a biomarker, and the other abstracts focus on unrelated topics like cell-free DNA, leukemia treatment, diabetes, and gut bacteria."
ENSG00000164176.13,EDIL3,65,"The abstracts provide moderate CRC-specific evidence for EDIL3 as a biomarker, with one study showing EDIL3 is elevated in plasma exosomes from CRC patients and significantly reduced in CRC tissue compared to healthy colon tissue, though the primary focus was on QSOX1 rather than EDIL3."
ENSG00000105219.10,CCNP,85,"The abstracts provide strong, direct evidence for CCNP/CNTD2 as a CRC biomarker, demonstrating upregulation in colorectal cancer tissue, association with worse prognosis, and clear mechanistic roles in cancer stemness through WNT pathway activation and promotion of cell proliferation/migration."
ENSG00000162761.14,LMX1A,75,"The abstracts provide strong CRC-specific evidence for LMX1A as a prognostic biomarker, with methylation status significantly associated with poor survival outcomes in early-stage CRC patients and validated as part of a four-gene prognostic panel."
ENSG00000116176.6,TPSG1,20,Only one abstract mentions colorectal cancer in a tangential context - a space radiation study using mouse models that references colorectal cancer as background but focuses on radiation exposure effects rather than CRC-specific biomarker evidence for TPSG1.
ENSG00000211650.2,IGLV5-45,0,"The abstracts discuss colorectal cancer broadly but do not mention the specific gene IGLV5-45, providing no evidence for its role as a CRC biomarker."
ENSG00000197614.11,MFAP5,75,"The abstracts provide strong CRC-specific evidence for MFAP5 as a biomarker, demonstrating diagnostic utility with 91% sensitivity and 96% specificity for invasive carcinoma detection, prognostic value in early diagnosis models achieving >0.90 AUC, and mechanistic insights into tumor microenvironment interactions, though validation across larger cohorts would strengthen the evidence."
ENSG00000004799.8,PDK4,75,"The abstracts provide strong CRC-specific evidence for PDK4 as a biomarker, with multiple studies demonstrating its differential expression in CRC tissues, involvement in peritoneal metastasis mechanisms, and inclusion in validated diagnostic models with demonstrated ROC performance."
ENSG00000178473.7,UCN3,20,"The abstracts mention colorectal cancer only in the context of second primary cancers and general oncology studies, with no evidence of UCN3 as a CRC biomarker or any mechanistic role in colorectal cancer."
ENSG00000105989.10,WNT2,35,"While WNT2 is mentioned in the context of gastrointestinal cancers including colorectal cancer, the abstracts provide only limited CRC-specific evidence, with most content focusing on gastric cancer or general GI malignancies rather than direct CRC biomarker utility."
ENSG00000072133.11,RPS6KA6,65,"The abstracts provide strong CRC-specific evidence for RPS6KA6 as a biomarker, including enrichment in early-onset Hispanic/Latino patients not receiving FOLFOX treatment and experimental evidence showing RSK4 (the protein product) functions as a tumor suppressor that inhibits CRC cell growth, invasion, and EMT, though biomarker validation remains limited."
ENSG00000065609.14,SNAP91,25,"Only one abstract (#5) directly addresses colorectal cancer, describing periplocin's anticancer effects through LGALS3-mediated lysophagy, but SNAP91 is not mentioned in any of the provided abstracts."
ENSG00000154645.14,CHODL,85,"The abstract provides direct, comprehensive evidence of CHODL as a CRC biomarker, demonstrating promoter hypermethylation leads to gene silencing, tumor suppressor functions, and clear prognostic significance for patient survival, particularly in early-stage CRC."
ENSG00000118526.7,TCF21,75,"The abstracts provide strong CRC-specific evidence for TCF21 as a biomarker, particularly for metastasis prediction and therapeutic targeting, with mechanistic insights into the TCF21-WNT5A pathway and pericyte function in colorectal cancer progression."
ENSG00000166482.12,MFAP4,35,"MFAP4 appears in CRC-related contexts but evidence is limited - mentioned as upregulated in metastatic CRC exosomes and expressed in colonic stroma, but lacks direct biomarker validation or CRC-specific mechanistic insights."
ENSG00000160801.14,PTH1R,65,"The abstracts provide strong CRC-specific evidence with PTH1R identified as a prognostic biomarker in multiple studies, including its role in a validated 11-gene prognostic model and involvement in aggressive CRC behavior through the Met receptor pathway, though biomarker validation remains emerging rather than fully established."
ENSG00000143867.7,OSR1,25,"While OSR1 is mentioned in one abstract as a dysregulated oxidative stress gene in oxaliplatin-induced liver injury (a CRC treatment side effect), there is no direct evidence of OSR1 as a CRC biomarker or its role in CRC pathogenesis itself."
ENSG00000243238.1,IGKV2-30,0,No abstracts provided for evaluation.
ENSG00000064787.13,BCAS1,65,"The abstracts provide strong CRC-specific evidence with BCAS1 identified as a prognostic biomarker and therapeutic target, showing roles in alternative splicing regulation, cetuximab resistance, and protein interaction networks, though biomarker validation remains emerging rather than fully established."
ENSG00000129167.9,TPH1,85,"The abstracts provide strong, direct evidence for TPH1 as a CRC biomarker with clear therapeutic targeting potential, demonstrated tumor-promoting mechanisms, and validated prognostic utility in treatment response prediction."
ENSG00000015592.16,STMN4,45,"STMN4 is mentioned in CRC contexts but evidence is limited - one abstract identifies it as a prognostic factor for COAD survival and another shows decreased expression in metastatic lesions, but the gene is not the primary focus and mechanistic insights are minimal."
ENSG00000105492.16,SIGLEC6,75,"The abstracts provide strong CRC-specific evidence for SIGLEC6 as a biomarker, showing its association with shorter overall survival in CRC patients and functional upregulation in the CRC tumor microenvironment, though its role appears context-dependent across different immune cell types."
ENSG00000244116.3,IGKV2-28,0,No abstracts provided for evaluation of IGKV2-28 as a CRC biomarker - all abstracts show 'nan' content or discuss unrelated genes/topics.
ENSG00000067840.12,PDZD4,0,"No abstracts provided contain any mention of the gene PDZD4, making it impossible to evaluate its potential as a CRC biomarker based on the given content."
ENSG00000165197.5,VEGFD,75,"The abstracts provide strong CRC-specific evidence for VEGFD as a biomarker, with multiple studies showing its association with survival outcomes and treatment response in bevacizumab, aflibercept, and ramucirumab therapies, though validation as an established biomarker is still emerging."
ENSG00000135374.11,ELF5,75,"The abstracts provide strong CRC-specific evidence for ELF5 as a biomarker, with direct experimental validation showing its role in colorectal cancer cell proliferation, invasion, and patient prognosis, though the biomarker utility is still emerging rather than fully established."
ENSG00000128482.16,RNF112,75,"Abstract 3 provides strong direct evidence that RNF112 is a tumor suppressor in colorectal cancer with clear biomarker potential, showing decreased expression associated with clinical parameters and demonstrating a specific KLF4-RNF112-NAA40 mechanistic pathway. The other abstracts focus on phytochemical nanoformulations and body composition but lack RNF112-specific content."
ENSG00000162374.18,ELAVL4,15,"While colorectal cancer is mentioned in several abstracts, none provide evidence for ELAVL4 as a CRC biomarker - the abstracts focus on housing assistance, chemical synthesis, physician decision-making, and fluoxetine treatment rather than ELAVL4's role in CRC."
ENSG00000244575.3,IGKV1-27,0,"The abstracts provided do not contain any information about the gene IGKV1-27, instead focusing on various other aspects of colorectal cancer research including A20 enzyme, EpCAM imaging, CXCL14 immunotherapy, ablation margins, and a pancreatic cancer case report."
ENSG00000138669.9,PRKG2,85,"The abstracts provide strong, direct evidence for PRKG2 as a CRC biomarker, demonstrating its tumor suppressor role in colon epithelium with decreased expression in tumors versus normal tissue, and showing that PKG2 deficiency leads to increased polyp formation and enhanced proliferation in mouse models."
ENSG00000114455.13,HHLA2,75,"The abstracts provide strong CRC-specific evidence for HHLA2 as a biomarker, with multiple studies demonstrating its overexpression in CRC tissues, correlation with poor prognosis, and association with clinicopathological features like invasion depth and lymph node metastasis, though validation as an established biomarker is still emerging."
ENSG00000211668.2,IGLV2-11,0,"The abstracts discuss colorectal cancer research but do not mention IGLV2-11 specifically, providing no evidence for its role as a CRC biomarker."
ENSG00000253549.6,CA3-AS1,75,"The abstracts provide strong CRC-specific evidence with CA3-AS1 identified as both a functional regulator and diagnostic biomarker in colorectal cancer, though biomarker validation appears limited to initial studies rather than clinical validation."
ENSG00000105696.9,TMEM59L,85,"The abstracts provide strong, direct evidence for TMEM59L as a CRC biomarker with diagnostic, prognostic, and therapeutic utility, including associations with survival, metastasis, chemoresistance, and detailed mechanistic insights through multiple signaling pathways."
ENSG00000211637.2,IGLV4-69,0,"The abstract discusses radiomic models for predicting microsatellite instability in colorectal cancer but makes no mention of the IGLV4-69 gene, providing no evidence for its role as a CRC biomarker."
ENSG00000140297.13,GCNT3,85,"The abstracts provide strong, direct evidence for GCNT3 as a CRC biomarker with clear prognostic utility - low expression correlates with higher relapse risk and poor survival, while high expression is associated with better chemotherapy response and clinical outcomes in both colon and rectal cancer patients."
ENSG00000110975.8,SYT10,25,"SYT10 is mentioned only as part of a technical control panel for DNA methylation analysis in colorectal cancer cell lines, with no evidence of its own biomarker potential or CRC-specific biological role."
ENSG00000168032.10,ENTPD3,45,"ENTPD3 is mentioned in CRC contexts but primarily as part of broader studies on T2DM-CRC comorbidity and inflammatory bowel conditions rather than as a specific CRC biomarker, with limited direct evidence for diagnostic or prognostic utility in colorectal cancer."
ENSG00000184564.11,SLITRK6,65,"The abstracts provide strong CRC-specific evidence for SLITRK6 as a cancer stem cell-related gene involved in colorectal cancer progression and metastasis, with demonstrated differential expression patterns and regulatory miRNA interactions, though biomarker validation is still emerging."
ENSG00000166825.15,ANPEP,20,"ANPEP is mentioned only once in abstract [3] as a prostate cancer biomarker that showed differential expression between Gleason grades, with no colorectal cancer relevance discussed in any of the provided abstracts."
ENSG00000164128.7,NPY1R,65,"The abstracts provide strong CRC-specific evidence with NPY1R identified as a regional colon stem cell marker that serves as a cancer origin and is included in constructed regulatory networks for CRC, though biomarker validation is still emerging."
ENSG00000254560.6,BBOX1-AS1,85,"The abstracts provide strong, direct evidence for BBOX1-AS1 as a CRC biomarker with demonstrated diagnostic, prognostic, and therapeutic potential across multiple studies, including differential expression patterns, survival associations, and mechanistic insights into CRC progression and radiotherapy resistance."
ENSG00000145506.14,NKD2,75,"The abstracts provide strong CRC-specific evidence for NKD2 as a biomarker, showing its upregulation correlates with worse prognosis, its role in Wnt signaling dysregulation, and therapeutic targeting potential, though validation as an established clinical biomarker is still emerging."
ENSG00000178776.5,C5orf46,75,"The abstracts provide strong CRC-specific evidence showing C5orf46 as part of a validated prognostic model and demonstrating significant correlations with clinical indicators, immune infiltration, and patient outcomes in colorectal cancer, though the biomarker role appears emerging rather than fully established."
ENSG00000134240.12,HMGCS2,75,"The abstracts provide strong CRC-specific evidence with HMGCS2 showing biomarker potential in colorectal cancer progression, drug resistance mechanisms, and diagnostic utility in UC-to-CRC transition, though validation as an established clinical biomarker is still emerging."
ENSG00000251026.2,NIHCOLE,0,No abstracts provided for evaluation.
ENSG00000168079.17,SCARA5,0,No abstracts provided for evaluation - all abstract entries show 'nan' indicating no content is available for SCARA5.
ENSG00000196616.14,ADH1B,0,No abstracts provided for evaluation.
ENSG00000182271.13,TMIGD1,0,No abstracts provided for evaluation.
ENSG00000100604.13,CHGA,15,"While CHGA is mentioned in two abstracts as a biomarker in cancer contexts, there is no direct evidence of its specific role as a colorectal cancer biomarker - it appears only in passing references within broader cancer studies."
ENSG00000079689.14,SCGN,0,No abstracts provided for evaluation - all abstract entries show 'nan' indicating no content is available for analysis.
ENSG00000174992.8,ZG16,0,No abstracts provided for evaluation - all abstract entries show 'nan' indicating no content is available for the ZG16 gene.
ENSG00000104435.14,STMN2,0,No abstracts provided for evaluation - all abstract entries show 'nan' indicating no content is available for STMN2.
ENSG00000180875.5,GREM2,0,No abstracts provided for evaluation - all abstract entries show 'nan' indicating no content is available for GREM2.
ENSG00000231172.2,EVA1A-AS,0,No abstracts provided for evaluation - all abstract entries show 'nan' indicating no content is available for the gene EVA1A-AS.
ENSG00000162706.13,CADM3,0,No abstracts provided for evaluation - all abstract entries show 'nan' indicating no content is available for CADM3.
ENSG00000016490.16,CLCA1,0,No abstracts provided for evaluation.
ENSG00000159263.16,SIM2,0,No abstracts provided for evaluation - all abstract entries show 'nan' indicating no content is available for the SIM2 gene.
ENSG00000133742.14,CA1,75,"The abstracts provide strong CRC-specific evidence for CA1 as a biomarker, with one study directly identifying CA1 as a potential early diagnostic biomarker for colorectal cancer with demonstrated specificity and superior diagnostic efficacy (AUC = 0.917) when combined with SMPDL3A."
ENSG00000080493.18,SLC4A4,0,No abstracts provided for evaluation - all abstract entries show 'nan' indicating no content is available for the SLC4A4 gene.
ENSG00000016602.9,CLCA4,65,"The abstracts provide strong CRC-specific evidence for CLCA4 as a biomarker, particularly showing its role in suppressing cancer stem cell properties, enhancing immunotherapy response, and being downregulated in colorectal cancer with clear mechanistic insights through vimentin-FAK pathway interactions."
ENSG00000169432.18,SCN9A,0,No abstracts provided for evaluation.
ENSG00000106809.11,OGN,0,No abstracts provided for evaluation.
ENSG00000100448.4,CTSG,25,"While multiple abstracts mention colorectal cancer, none provide evidence for CTSG as a CRC biomarker - they focus on nursing interventions, wastewater surveillance of other markers (CDH1), therapy effects, and vitamin D mechanisms without mentioning CTSG."
ENSG00000104332.12,SFRP1,75,"The abstracts provide strong CRC-specific evidence with multiple studies demonstrating therapeutic targeting strategies (ATR/TopBP1 pathway inhibitors) showing efficacy in colorectal cancer models and clinical trials, including synergistic effects with standard chemotherapy regimens like FOLFIRI."
ENSG00000170381.14,SEMA3E,0,No abstracts provided for evaluation - all abstract entries show 'nan' indicating no content is available for SEMA3E.
ENSG00000164530.15,PI16,0,No abstracts provided for evaluation.
ENSG00000111846.19,GCNT2,0,No abstracts provided for evaluation - all abstract entries show 'nan' indicating no content is available for analysis.
ENSG00000198121.13,LPAR1,0,No abstracts provided for evaluation - all abstract entries show 'nan' indicating no content is available for analysis.
ENSG00000123560.14,PLP1,0,No abstracts provided for evaluation.
ENSG00000166869.3,CHP2,85,"The abstracts provide strong, direct evidence for CHP2 as a CRC biomarker with both prognostic and predictive utility, including mechanistic insights through PANoptosis regulation and validation across multiple studies and experimental models."
ENSG00000115263.15,GCG,25,"The abstracts mention colorectal cancer only tangentially in the context of GLP-1 receptor agonists and obesity-related cancer risk, but provide no direct evidence for GCG (glucagon) as a CRC biomarker with diagnostic, prognostic, or therapeutic utility."
ENSG00000113805.8,CNTN3,75,"Abstract [3] provides strong direct evidence for CNTN3 as a CRC biomarker, demonstrating its elevated expression in CRC tissues correlating with metastasis and advanced stages, its role in promoting EMT and invasion, and its regulation by PRRX2, establishing clear mechanistic insights and biomarker potential for CRC progression."
ENSG00000147724.12,FAM135B,0,No abstracts provided for evaluation - all abstract entries show 'nan' indicating no content is available for FAM135B.
ENSG00000166206.15,GABRB3,0,No abstracts provided for evaluation - all abstract entries show 'nan' indicating no content is available for the GABRB3 gene.
ENSG00000146469.13,VIP,0,The abstracts discuss various aspects of colorectal cancer treatment and patient care but contain no evidence about VIP (Vasoactive Intestinal Peptide) as a biomarker or its role in CRC biology.
ENSG00000244355.7,LY6G6D,0,No abstracts provided for evaluation - all abstract entries show 'nan' indicating no content is available for the gene LY6G6D.
ENSG00000129455.15,KLK8,25,"While colorectal cancer is mentioned in multiple abstracts, KLK8 is not mentioned at all in any of the provided abstracts, which focus on silver nanoparticles, IBD progression, cannabidiol, targeted drug delivery, and sodium butyrate treatments for CRC."
ENSG00000108381.11,ASPA,15,"The abstracts contain minimal CRC biomarker evidence for ASPA - only one abstract (#2) mentions colorectal cancer but focuses on a polysaccharide treatment rather than ASPA as a biomarker, while other abstracts discuss general cancer epidemiology or unrelated genes."
ENSG00000153993.13,SEMA3D,0,No abstracts provided for evaluation - all abstract entries show 'nan' indicating no content is available for SEMA3D.
ENSG00000060718.22,COL11A1,0,No abstracts provided for evaluation - all abstract entries show 'nan' indicating no content is available for COL11A1.
ENSG00000175785.13,PRIMA1,65,"The abstracts provide strong CRC-specific evidence for PRIMA1 as a biomarker, particularly in abstract 5 which identifies PRIMA1 as part of multi-biomarker combinations for early CRC detection, and abstract 4 which demonstrates PRIMA-1met's therapeutic potential in CRC treatment with synergistic effects when combined with oxaliplatin."
ENSG00000108231.14,LGI1,0,No abstracts provided for evaluation - all abstract entries show 'nan' indicating no content is available for the LGI1 gene.
ENSG00000108244.17,KRT23,0,No abstracts provided for evaluation.
ENSG00000179915.24,NRXN1,0,No abstracts provided for evaluation - all abstract entries show 'nan' indicating no content is available for analysis.
ENSG00000104059.4,ENTREP2,0,No abstracts provided for evaluation - all abstract entries show 'nan' indicating no content is available for the gene ENTREP2.
ENSG00000164379.7,FOXQ1,75,"The abstracts provide strong CRC-specific evidence for FOXQ1 as a biomarker, showing consistent overexpression in colorectal cancer tissues compared to normal tissues, correlation with poor prognosis and TNM staging, and downregulation upon treatment with anticancer agents, though validation as an established clinical biomarker is still emerging."
ENSG00000198488.10,B3GNT6,0,No abstracts provided for evaluation - all abstract entries show 'nan' indicating no content is available for the B3GNT6 gene.
ENSG00000162670.11,BRINP3,0,No abstracts provided for evaluation - all abstract entries show 'nan' indicating no content is available for the BRINP3 gene.
ENSG00000156284.6,CLDN8,0,No abstracts provided for evaluation - all abstract entries show 'nan' indicating no content is available for assessment.
ENSG00000092009.10,CMA1,0,No abstracts provided for evaluation.
ENSG00000109182.12,CWH43,0,No abstracts provided for evaluation - all abstract entries show 'nan' indicating no content is available for the CWH43 gene.
ENSG00000249550.7,LINC01234,0,No abstracts provided for evaluation.
ENSG00000185432.12,TMT1A,65,"The abstracts provide strong evidence for METTL7A as a CRC biomarker, showing consistent downregulation in colorectal cancer, prognostic significance, and inclusion in a validated 6-gene classifier for early CRC diagnosis with 91% accuracy."
ENSG00000147655.12,RSPO2,0,No abstracts provided for evaluation.
ENSG00000168447.11,SCNN1B,0,No abstracts provided for evaluation - all abstract entries show 'nan' indicating no content is available for SCNN1B.
ENSG00000163815.6,CLEC3B,0,No abstracts provided for evaluation - all abstract entries show 'nan' indicating no content is available for CLEC3B.
ENSG00000176490.5,DIRAS1,0,No abstracts provided for evaluation - all abstract entries show 'nan' indicating no content is available for the DIRAS1 gene.
ENSG00000198074.10,AKR1B10,0,No abstracts provided for evaluation - all abstract entries show 'nan' indicating no content is available for the gene AKR1B10.
ENSG00000183690.13,EFHC2,0,No abstracts provided for evaluation - all abstract entries show 'nan' indicating no content is available for the gene EFHC2.
ENSG00000186198.4,SLC51B,0,No abstracts provided for evaluation.
ENSG00000245694.10,LOC101927480,0,No abstracts provided for evaluation.
ENSG00000073737.17,DHRS9,0,No abstracts provided for evaluation.
ENSG00000196260.5,SFTA2,0,No abstracts provided for evaluation - all abstract entries show 'nan' indicating no content is available for the SFTA2 gene.
ENSG00000240498.9,CDKN2B-AS1,15,"While the abstracts mention CDKN2B-AS1 (ANRIL) in colorectal cancer contexts, most are retractions or expressions of concern, providing no reliable evidence. Only one abstract discusses the 9p21.3 locus comprehensively but focuses broadly on multiple genes rather than establishing specific biomarker utility for CDKN2B-AS1."
ENSG00000286042.1,LCAL1,0,No abstracts provided for evaluation.
ENSG00000135218.19,CD36,0,No abstracts provided for evaluation - all abstract entries show 'nan' indicating no content is available for CD36 assessment.
ENSG00000082397.17,EPB41L3,65,"The abstracts provide strong CRC-specific evidence with EPB41L3 identified as a survival-related gene in aggressive CRC forms, showing loss of expression in 42% of CRCs, and involvement in alternative splicing regulation affecting tumor progression, though the biomarker role is emerging rather than fully validated."
ENSG00000179914.5,ITLN1,65,"Abstract 2 provides strong direct evidence of ITLN1 as a CRC biomarker, showing it suppresses tumor progression through Wnt/β-catenin pathway inhibition and immune modulation, while abstract 3 identifies ITLN1 as a biomarker for both UC and CRC progression with prognostic potential."
ENSG00000124205.18,EDN3,0,No abstracts provided for evaluation - all abstract entries show 'nan' indicating no content is available for assessment.
ENSG00000250641.1,LY6G6F-LY6G6D,0,No abstracts provided for evaluation.
ENSG00000132465.12,JCHAIN,0,"No abstracts provided contain any evidence linking JCHAIN to colorectal cancer biomarker potential - the abstracts discuss pelvic fractures, general CRC computational pathology, methylation signatures, gut microbiota, and malnutrition diagnosis without mentioning JCHAIN."
ENSG00000101938.15,CHRDL1,0,No abstracts provided for evaluation - all abstract entries show 'nan' indicating no content is available for the CHRDL1 gene.
ENSG00000111863.13,ADTRP,0,No abstracts provided for evaluation - all abstract entries show 'nan' indicating no content is available for the ADTRP gene.
ENSG00000170091.11,NSG2,0,No abstracts provided for evaluation - all abstract entries show 'nan' indicating no content is available for NSG2.
ENSG00000171408.14,PDE7B,0,No abstracts provided for evaluation - all abstract entries show 'nan' indicating no content is available for the gene PDE7B.
ENSG00000260573.4,LOC124903770,0,No abstracts provided for evaluation.
ENSG00000133878.9,DUSP26,0,No abstracts provided for evaluation - all abstract entries show 'nan' indicating no content is available for DUSP26.
ENSG00000138722.10,MMRN1,15,"The abstracts discuss colorectal cancer but focus on surgical techniques, therapeutic compounds, cancer-associated fibroblasts, and ECM remodeling without any mention of MMRN1 gene specifically, providing no evidence for MMRN1 as a CRC biomarker."
ENSG00000231246.2,LINC02884,0,No abstracts provided for evaluation.
ENSG00000242366.3,UGT1A8,0,No abstracts provided for evaluation - all abstract entries show 'nan' indicating no content is available for assessment.
ENSG00000148483.9,TMEM236,0,No abstracts provided for evaluation - all abstract entries show 'nan' indicating no content is available for TMEM236.
ENSG00000242515.5,UGT1A10,0,No abstracts provided for evaluation - all abstract entries show 'nan' indicating no content is available for assessment.
ENSG00000134121.10,CHL1,0,No abstracts provided for evaluation.
ENSG00000169347.17,GP2,15,"The abstracts contain minimal CRC biomarker evidence for GP2, with only one brief mention in abstract [2] where GP2 immunostaining was negative in a rare colorectal adenocarcinoma variant, providing no meaningful biomarker utility."
ENSG00000188175.10,HEPACAM2,0,No abstracts provided for evaluation.
ENSG00000163497.3,FEV,0,No abstracts provided for evaluation - all abstract entries show 'nan' indicating no content is available for the FEV gene.
ENSG00000119147.10,ECRG4,65,"The abstracts provide strong CRC-specific evidence for ECRG4 as a biomarker, showing its role in metastasis regulation through the MAZ/UHRF1/ECRG4 axis and its identification as a hub prognostic gene in multi-omics analysis, though validation studies are still emerging."
ENSG00000118432.12,CNR1,0,No abstracts provided for evaluation - all abstract entries show 'nan' indicating no content is available for CNR1.
ENSG00000114200.10,BCHE,15,"The abstracts contain minimal CRC biomarker evidence for BCHE. Only abstract 5 mentions colorectal cancer (HT-29 cells) in passing as part of a general cancer cell panel, with no specific CRC biomarker data or mechanistic insights for BCHE."
ENSG00000103888.17,CEMIP,0,No abstracts provided for evaluation.
ENSG00000166391.15,MOGAT2,0,No abstracts provided for evaluation.
ENSG00000205683.11,DPF3,0,No abstracts provided for evaluation - all abstract entries show 'nan' indicating no content is available for DPF3.
ENSG00000171243.8,SOSTDC1,0,No abstracts provided for evaluation - all abstract entries show 'nan' indicating no content is available for SOSTDC1.
ENSG00000156298.13,TSPAN7,0,No abstracts provided for evaluation - all abstract entries show 'nan' indicating no content is available for TSPAN7.
